model,question,reference,prediction,em,f1,retrieval_hit,needs_retrieval,latency,num_queries
A²-RAG,soaking the jute plants in water is called,retting,Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.36453819274902344,0
A²-RAG,who are the green bay packers owned by,The Green Bay Packers Board of Directors,Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.35328078269958496,0
A²-RAG,who is the patron saint for lost causes,Saint Jude the Apostle,Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.34877657890319824,0
A²-RAG,who sings lead vocals on aerosmith dream on,Steven Tyler,Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.3320131301879883,0
A²-RAG,who is on the cover of life of pablo,Sheniz H,Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.37928009033203125,0
A²-RAG,what country does the united states export the most product to,China,Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,2.5461578369140625,0
A²-RAG,where did the pittsburgh steelers get their name,"based on the ""Steelmark '', originally designed by Pittsburgh 's U.S",Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.3470273017883301,0
A²-RAG,when does episode 2 of star trek discovery come on,"September 24, 2017",Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.3310823440551758,0
A²-RAG,where was paper planes filmed in western australia,at an abandoned school in Gidgegannup,Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.34418773651123047,0
A²-RAG,visual signs of spoilage for fruits and vegetables,change in color,Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.3719966411590576,0
A²-RAG,how many fans fit in penn state stadium hold,"106,572",Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.44695377349853516,0
A²-RAG,who sang lead vocals on go your own way,Lindsey Buckingham,Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.3500101566314697,0
A²-RAG,generates the byte code for a given file with .java extension,the Java virtual machine (JVM),Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.4405937194824219,0
A²-RAG,where did the attack on pearl harbor occur,"the United States naval base at Pearl Harbor, Hawaii Territory",Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.3572556972503662,0
A²-RAG,when did bob dylan wrote knockin on heavens door,"July 13, 1973",Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.33961939811706543,0
A²-RAG,when did australia qualify for the world cup,1974,Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.3363158702850342,0
A²-RAG,anatomical structure that is part of both the digestive and respiratory systems,the pharynx,Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.0,False,,0.4127931594848633,0
A²-RAG,when did the last recession began and end,began in December 2007 and ended in June 2009,Error: Both primary and fallback LLM failed: Error calling model 'gpt-4o-mini' (NOT_FOUND): 404 NOT_FOUND,0,0.09523809523809525,False,,0.3803842067718506,0
